region_id,country,name,kode_prov,lat,lon
ID-AC,IDN,Aceh,11,4.224733149092493,96.90777570471253
ID-BA,IDN,Bali,51,-8.369683379897314,115.1313788443482
ID-BB,IDN,Bangka Belitung Islands,19,-2.4497450596604997,106.55413725967185
ID-BE,IDN,Bengkulu,17,-3.5556287868417744,102.33816174823832
ID-BT,IDN,Banten,36,-6.455957850416625,106.10849675893203
ID-GO,IDN,Gorontalo,75,0.6862971095138726,122.37552039010606
ID-JA,IDN,Jambi,15,-1.6986598823309842,102.71440061194969
ID-JB,IDN,West Java,32,-6.9201686537424765,107.60171577662445
ID-JI,IDN,East Java,35,-7.718697835117244,112.73021391921793
ID-JK,IDN,Jakarta,31,-6.199026740359407,106.83429655130992
ID-JT,IDN,Central Java,33,-7.2590641651281445,110.20064338634316
ID-KB,IDN,West Kalimantan,61,-0.08635099339501835,111.1120720833647
ID-KI,IDN,East Kalimantan,64,0.4545824224638476,116.44049863846307
ID-KR,IDN,Riau Islands,21,1.479298572453192,105.38415869498625
ID-KS,IDN,South Kalimantan,63,-3.0016918461254214,115.43680134993525
ID-KT,IDN,Central Kalimantan,62,-1.6056178461795463,113.40860439854261
ID-KU,IDN,North Kalimantan,65,2.91429477982607,116.23948967019186
ID-LA,IDN,Lampung,18,-4.916901003085505,105.02002836022643
ID-MA,IDN,Maluku,81,-4.731332048677424,129.80381229292442
ID-MU,IDN,North Maluku,82,0.21158525326409494,127.52546701859362
ID-NB,IDN,West Nusa Tenggara,52,-8.606454096503498,117.50735383882741
ID-NT,IDN,East Nusa Tenggara,53,-9.25874922660737,122.17722525585393
ID-PA,IDN,Papua,91,-2.6101611259180726,138.52894123765074
ID-PB,IDN,West Papua,92,-2.654836814705997,133.64376333898963
ID-PD,IDN,Southwest Papua,96,-1.1234704796727497,131.9514893311348
ID-PE,IDN,Highland Papua,95,-4.228536603426061,139.4506554674202
ID-PS,IDN,South Papua,93,-6.677114488635422,139.53451714338092
ID-PT,IDN,Central Papua,94,-3.910332888063088,136.62065738695745
ID-RI,IDN,Riau,14,0.5086067244863967,101.81034468100361
ID-SA,IDN,North Sulawesi,71,1.260219970550333,124.51223996963178
ID-SB,IDN,West Sumatra,13,-0.8482602948408646,100.46009077183733
ID-SG,IDN,Southeast Sulawesi,74,-4.135635404221556,122.06944893172036
ID-SN,IDN,South Sulawesi,73,-3.732027230752362,120.14959901499904
ID-SR,IDN,West Sulawesi,76,-2.465153571987646,119.34415334160937
ID-SS,IDN,South Sumatra,16,-3.2121080250640848,104.16667753883024
ID-ST,IDN,Central Sulawesi,72,-1.017643581280312,121.19712659143514
ID-SU,IDN,North Sumatra,12,2.1877085990577525,99.05165360963234
ID-YO,IDN,Yogyakarta,34,-7.894864866290739,110.44538800349949
BORNEO_NONIDN,OTH,Borneo (non-Indonesia),,3.6021091529171185,114.6614312764958
PNG_ALL,PNG,Papua New Guinea,,-6.441896426892452,145.26761310877166
